,MONTH,action,count
0,01,CLICKS,16499182
1,02,CLICKS,18326737
2,03,CLICKS,23729515
3,04,CLICKS,22345038
4,05,CLICKS,25160956
5,06,CLICKS,25105753
6,07,CLICKS,27490462
7,08,CLICKS,32422121
8,09,CLICKS,39284138
9,10,CLICKS,39673321
10,11,CLICKS,39430917
11,12,CLICKS,49110417
12,01,OPENS,335995945
13,02,OPENS,324010028
14,03,OPENS,395133199
15,04,OPENS,425658165
16,05,OPENS,470869857
17,06,OPENS,491570585
18,07,OPENS,559392287
19,08,OPENS,631210969
20,09,OPENS,713375148
21,10,OPENS,707750554
22,11,OPENS,682933902
23,12,OPENS,779200005
