,CLICK_COUNT
0,1013403
1,1115098
2,884245
3,192188
4,312901
5,1308362
6,990513
7,292859
8,158765
9,233703
10,151453
11,850644
12,438023
13,187508
14,277066
15,677277
16,241204
17,266524
18,233972
19,116774
20,179779
21,309280
22,272209
23,481046
24,1525217
25,667136
26,177030
27,244445
28,1195586
29,157090
30,979071
31,878250
32,205750
33,610979
34,1029990
35,580089
36,918381
37,394747
38,573157
39,144409
40,688052
41,194065
42,319329
43,1520673
44,520361
45,303036
46,261115
47,635570
48,227185
49,664079
50,236858
51,201379
52,337112
53,237601
54,296199
55,445722
56,1041345
57,181606
58,271852
59,265148
60,649330
61,172217
62,273207
63,1054290
64,307424
65,428324
66,213665
67,616613
68,225243
69,208245
70,309369
71,1319892
72,651068
73,434672
74,434832
75,220998
76,669324
77,222224
78,500501
79,149870
80,103707
81,1392833
82,989372
83,707111
84,444702
85,595317
86,310551
87,310604
88,334897
89,172383
90,142089
91,282532
92,143901
93,215723
94,965972
95,1456412
96,373541
97,871663
98,593902
99,213880
100,302024
101,303197
102,371778
103,252035
104,666265
105,111300
106,739130
107,1473589
108,295150
109,227221
110,147221
111,187895
112,108771
113,102319
114,644483
115,945615
116,178472
117,428188
118,283581
119,1133190
120,421014
121,178575
122,201900
123,360440
124,148546
125,145224
126,1058351
127,245545
128,747435
129,523489
130,103558
131,354442
132,306896
133,744183
134,159011
135,103022
136,149142
137,427710
138,692872
139,214859
140,301576
141,172097
142,195517
143,143443
144,222007
145,406809
146,153954
147,325083
148,1107818
149,276104
150,1220845
151,258620
152,260016
153,290087
154,330828
155,1755412
156,254860
157,551735
158,683535
159,287075
160,214554
161,1063902
162,500215
163,232519
164,320502
165,750092
166,184431
